name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
,,,,,,,,,,
Swordsman,9,Perfect World Entertainment,Perfect World Entertainment,355253,169881,0,1.08,-1,0,-1
,,,,,,,,,,
Dawn's Light 2,78,John Wizard,John Wizard,8665,6564,0,11,12,50.11,0.14
,,,,,,,,,,
War in a Box: Paper Tanks,31,DQ Team,DQ Team,57765,16542,0,2.59,79,83.5,3.02
,,,,,,,,,,
Morphopolis,56,"Dan  Walters, Ceri Williams",Dan  Walters,500452,338448,1050,5.33,42,47.04,415.69
,,,,,,,,,,
Business clicker,,Dexion Games,Dexion Games,1838,0,0,0,-1,0,-1
,,,,,,,,,,
Sorcerer King,27,Stardock Entertainment,Stardock Entertainment,39122,29933,784,2.3,172,58.39,0.64
,,,,,,,,,,
Monster Trucks Nitro ,23,Redlynx Ltd,Miniclip.com,16017,13653,0,2,1784,96.4,963.27
,,,,,,,,,,
Beyond the Wall,23,Leprechaun Games,Leprechaun Games,795,0,0,2,110,77,0
,,,,,,,,,,
LEGO STAR WARS: The Force Awakens,51,"Traveller's Tales, TT Games, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",248952,207504,15902,4.7,42,46.3,51.53
,,,,,,,,,,
Card Dungeon,15,Playtap Games,Playtap Games,2888,2626,0,1.47,108,175.6,1.15
,,,,,,,,,,
Witan,16,Imigea Ltd,gamevial,2101,784,0,1.5,-1,0,-1
,,,,,,,,,,
Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,23,Ticonblu,Microids Indie,33346,4201,0,2,108,67.16,15.49
,,,,,,,,,,
Redemption Cemetery: Bitter Frost Collector's Edition,,ERS G Studios,Big Fish Games,1589,0,0,0,108,123,0
,,,,,,,,,,
Snake Treasure Chest,,Rag€±p Hatuno€Ùlu,Pedica Games,795,0,0,0,79,0,-1
,,,,,,,,,,
Castle,24,Snails Animation,Snails Animation,55004,40927,784,2.08,161,106.56,210.79
,,,,,,,,,,
SuperTrucks Offroad,47,Meltdown Interactive Media,"Meltdown Interactive Media, Plug In Digital",785,785,0,4.2,28,0,-1
,,,,,,,,,,
Sons of Triskelion,,Warfare Studios,Warfare Studios,1974,795,0,0,108,66.67,50.7
,,,,,,,,,,
Drive to Hell,65,Ghost Crab Games,Ghost Crab Games,23983,12513,0,6.83,82,148.83,55
,,,,,,,,,,
Deadly Sin,5,Dancing Dragon Games,Degica,10240,4201,0,0.73,98,73.38,13.78
,,,,,,,,,,
Rage Quest,,Nicholas Fisher,Nicholas Fisher,795,0,0,0,92,0,-1
,,,,,,,,,,
The Land of Eyas,99,Happy Square Productions,Rising Star Games,13816,7820,1569,50,80,81.5,77.04
,,,,,,,,,,
NUKED KNIGHT,24,Nuked Games,Siberian Digital,155106,117829,782,2.04,110,45.31,29.83
,,,,,,,,,,
Final Approach: Pilot Edition,12,Phaser Lock Interactive,Phaser Lock Interactive,27044,8140,0,1.25,226,111.33,1173.48
,,,,,,,,,,
Tex Murphy: Martian Memorandum,51,Access Software,Nightdive Studios,50150,4201,0,4.75,99,103.42,369.45
,,,,,,,,,,
Half-Life 2: Lost Coast,56,Valve,Valve,15770797,2997072,11991,5.47,-1,0,-1
,,,,,,,,,,
ERMO,,Nonostante Games,Nonostante Games,795,0,0,0,94,0,-1
,,,,,,,,,,
Hocus Pocus,62,Moonlite Software,3D Realms (Apogee Software),67256,6256,778,6.25,226,505,0
,,,,,,,,,,
Melissa K. and the Heart of Gold Collector's Edition,31,SDP Games,KISS ltd,311929,181433,1575,2.69,108,51.55,9.5
,,,,,,,,,,
Hoven the Sages Spinel,47,"Bradley Elam, Colton Bone",Hoven Indies,25469,2101,0,4,226,47.5,154.45
,,,,,,,,,,
Grand Theft Auto V,25,Rockstar North,Rockstar Games,9864503,9647876,2149331,2.16,85,40.59,0.26
,,,,,,,,,,
Bloop,6,2SD,KISS ltd,228958,35972,0,0.85,95,56.28,4.23
,,,,,,,,,,
The Dark Legions,33,Mascot Entertainment,Mascot Entertainment,8140,4201,789,2.83,95,78.75,558.14
,,,,,,,,,,
Arkham Nightmares,1,Tim Rachor,Tim Rachor,1578,789,0,0.33,110,62.86,0.66
,,,,,,,,,,
Bloons TD Battles,53,Ninja Kiwi,Ninja Kiwi,1478250,1297604,83234,5.02,-1,0,-1
,,,,,,,,,,
Elansar,2,OrionSoft,OrionSoft,2888,795,0,0.44,228,178,0
,,,,,,,,,,
The Rollingball's Melody,2,Torkal Games,Torkal Games,10503,7614,0,0.43,844,0,-1
,,,,,,,,,,
The Odyssey: Winds of Athena,22,Liquid Dragon Studios,Epic Quest Games,207690,144412,0,1.88,108,33.43,44.09
,,,,,,,,,,
RGBverse,6,Kyvos Studios,Kyvos Studios,6517,3650,778,0.8,-1,0,-1
,,,,,,,,,,
Cubway,39,Armnomads LLC,Armnomads,37538,34149,0,3.19,114,60.71,390.54
,,,,,,,,,,
NEKO-NIN exHeart +PLUS Saiha,82,Whirlpool,Sekai Project,4171,2354,0,12.67,-1,0,-1
,,,,,,,,,,
La Tale - Evolved,8,Actoz Soft,Papaya Play,56977,38860,5776,0.97,-1,0,-1
,,,,,,,,,,
Murder In Tehran's Alleys 1933,,RSK Entertainment,Strategy First,4201,0,0,0,106,68.5,15.12
,,,,,,,,,,
Discouraged Workers,13,YGGDRASIL STUDIO,YGGDRASIL STUDIO,12341,7352,0,1.34,108,50.6,3.85
,,,,,,,,,,
Jump/Boxer,13,Blaze Epic,Blaze Epic,9385,2346,0,1.29,231,159.2,2428.81
,,,,,,,,,,
Fancy Trangram VR,,ŒÒö¤ Œ´à¤Ô¾_Û,ŒÒö¤ Œ´à¤Ô¾_Û,5133,795,0,6,110,61,128
,,,,,,,,,,
Wanderlust,1,Eternity Studios,Eternity Studios,5251,0,0,0.4,-1,0,-1
,,,,,,,,,,
Stacker,,Nicholas Hiller,Nicholas Hiller,795,0,0,0,-1,0,-1
,,,,,,,,,,
Sideway New York,19,"Playbrains, Fuel Entertainment",Playbrains,75094,23894,0,1.77,108,127.59,504.27
,,,,,,,,,,
Parallels,13,RisingHigh,RisingHigh,5474,4171,784,1.33,108,144.8,1648.93
,,,,,,,,,,
Footbrawl Playground,24,Kevin Suckert,Kevin suckert,3389,2868,785,2.11,-1,0,-1
,,,,,,,,,,
Santa Sling,9,"8th Shore, Inc.","8th Shore, Inc.",4464,1589,0,1,226,94,2
,,,,,,,,,,
BATTLE PIXELS,17,AppyArt Games,OtakuMaker SARL,40173,31771,784,1.62,88,60.64,128.77
,,,,,,,,,,
Lakeview Cabin Collection,78,Roope Tamminen,Roope Tamminen,210841,79033,2626,10.79,43,65.6,0.45
,,,,,,,,,,
Nightmares from the Deep 3: Davy Jones,95,Artifex Mundi,Artifex Mundi,111328,59077,2384,25.24,42,45.87,32
,,,,,,,,,,
Leap Up no jutsu,37,nlfastudio,nlfastudio,16162,14338,778,3,12,66,2.67
,,,,,,,,,,
Starship Traveller,16,Tin Man Games,Tin Man Games,19692,10503,0,1.55,108,108.25,409.7
,,,,,,,,,,
XenoBloom,23,IBOLOGY LLC,IBOLOGY LLC,8927,2626,0,2,361,101.6,860.67
,,,,,,,,,,
Chocolate makes you happy,,Blender Games,Blender Games,1184,795,795,0,12,61,0
,,,,,,,,,,
Worms Armageddon,89,Team17 Digital Ltd,Team17 Digital Ltd,797940,496251,11290,17.47,43,67.5,142.59
,,,,,,,,,,
NOBUNAGA'S AMBITION: Tenshouki WPK HD Version /  with  HD Version,4,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",7614,7352,1313,0.64,-1,0,-1
,,,,,,,,,,
Taikou Risshiden / ,49,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2101,1961,0,4.33,144,115,0
,,,,,,,,,,
SkyTime,14,"Alexey Khazov, Cristian Ionescu, Lars van Dorenvanck, Brandon van Doorn, Joran Vergoessen, Admir Leka",Sometimes You,170226,154064,0,1.39,108,82.25,66.02
,,,,,,,,,,
Lost in the Ocean VR,9,Tunnel Vision Studio,Tunnel Vision Studio,1564,1303,0,1,231,55,0
,,,,,,,,,,
Max Payne,74,Remedy Entertainment,Rockstar Games,645451,367563,7820,9.84,44,43.93,79.89
,,,,,,,,,,
Miner Ultra Adventures,16,Manic Mind Game Lab,Old School Blender Addicted,14338,11209,1172,1.56,110,68.25,0.39
,,,,,,,,,,
Postal III,3,Trashmasters,Akella,82115,71688,784,0.61,108,125.81,119.97
,,,,,,,,,,
Vektor Wars,37,Super Icon Ltd,Super Icon Ltd,17466,2085,0,3.09,43,85.55,546.66
,,,,,,,,,,
VR Interior Designer Pro,,Edgehill CGI,Edgehill CGI,7614,3551,0,0,-1,0,-1
,,,,,,,,,,
Snow Games VR,100,Kenziko Ltd.,Kenziko Ltd.,6517,3650,781,2,-1,0,-1
,,,,,,,,,,
Transport Defender,39,Coconut Shavers,Coconut Shavers,34134,27307,3413,3.34,-1,0,-1
,,,,,,,,,,
Restaurant Empire II,19,Enlight Software Limited,Enlight Software Limited,62753,25469,1184,1.76,102,65.5,1036.9
,,,,,,,,,,
Splash Bash,,Rovio,Sega,1575,784,0,0,-1,0,-1
,,,,,,,,,,
Impact Winter,5,Mojo Bones,BANDAI NAMCO Entertainment,3413,3151,795,0.72,-1,0,-1
,,,,,,,,,,
Mystika 3 : Awakening of the dragons,,Unikgame,Unikware,790,785,0,0,45,32.33,0.93
,,,,,,,,,,
Spiral Knights,53,Grey Havens,,3259764,2093706,27044,5.04,-1,0,-1
,,,,,,,,,,
Audition Online,21,T3 Entertainment,Redbana Corporation,478659,204277,3151,1.85,-1,0,-1
,,,,,,,,,,
Desktop Dungeons,78,QCF Design,QCF Design,123931,108177,1184,10.48,45,83.5,78.12
,,,,,,,,,,
MYSTIC VR,,Null Activity,Null Activity,2626,795,0,0,79,27,0
,,,,,,,,,,
Rescue Bear Operation,31,Cascade Game Foundry,Thought Ops LLC,18769,4432,778,2.64,-1,0,-1
,,,,,,,,,,
Squareface,59,VAN CUBO,VAN CUBO,9385,5474,785,5.78,80,54.5,9.03
,,,,,,,,,,
Birthdays the Beginning / ,10,"Arc System Works, TOYBOX Inc.","NIS America, Inc.",14179,12866,1184,1.12,87,95.5,1035.12
,,,,,,,,,,
WWE 2K17,16,"Visual Concepts, Yuke's Co., LTD",2K,58552,53826,7089,1.51,229,55,16.33
,,,,,,,,,,
Haunt the House: Terrortown,51,SFB Games,SFB Games,65953,55004,781,4.76,42,71.78,160.67
,,,,,,,,,,
Infinite Tanks,15,Atypical Games,Atypical Games,2607,2346,0,1.47,110,0,-1
,,,,,,,,,,
Pony Island,92,Daniel Mullins Games,Daniel Mullins Games,443475,282784,4201,23.61,43,85.38,733.92
,,,,,,,,,,
Avenging Angel,3,Dark Amber Softworks,Dark Amber Softworks,10949,5996,0,0.56,977,0,-1
,,,,,,,,,,
Tesla VR,1,Lex Dreitser,VRVU,24156,3413,0,0.38,-1,0,-1
,,,,,,,,,,
Anahita,,Clickteam,Clickteam,790,785,0,0,48,0,-1
,,,,,,,,,,
Cyberhunt,59,NukGames,NukGames,40406,26068,1303,5.96,12,36.33,2.24
,,,,,,,,,,
Legends of Talia: Arcadia,17,Winged Cloud,Winged Cloud,3413,1050,0,1.59,104,0,-1
,,,,,,,,,,
Arena Wars 2,2,ExDream GmbH,Just a Game,60653,31508,0,0.5,886,70.47,61.88
,,,,,,,,,,
Antihero,62,Tim Conkling,Versus Evil,24944,21005,1050,6.34,43,105.67,8784.04
,,,,,,,,,,
Zombie City Defense 2,44,Mozg Labs,Mozg Labs,14704,12603,0,3.79,79,68,4.17
,,,,,,,,,,
March to Glory,,Shenandoah Studio,Slitherine Ltd.,795,0,0,0,-1,0,-1
,,,,,,,,,,
Kings under the hill,17,Ilya Gubin,Ilya Gubin,141261,137847,2363,1.6,144,60.5,15.04
,,,,,,,,,,
Trapped Summoner,,Trapped Team,Trapped Team,785,785,0,0,127,0,-1
,,,,,,,,,,
Control Craft 2,18,Elite Games Ltd,OtakuMaker.com,10765,7877,785,1.67,95,51.58,34.74
,,,,,,,,,,
Run Run And Die,5,Pixel Bones Studio,,30195,1838,0,0.75,108,77.8,13.92
,,,,,,,,,,
Just Cause 3,30,Avalanche Studios,Square Enix,1812789,1572700,149371,2.45,40,87.82,2050.42
,,,,,,,,,,
Gridiron Solitaire,42,Bill and Eli Productions,Bill and Eli Productions,2101,1313,0,3.71,-1,0,-1
,,,,,,,,,,
The Moon Sliver,31,David Szymanski,David Szymanski,72731,44636,0,2.68,79,55.95,145.53
,,,,,,,,,,
Seinarukana -The Spirit of Eternity Sword 2-,100,Xuse,JAST USA,3158,790,0,11,43,66.4,5.83
,,,,,,,,,,
Beyond the Sunset ,97,ŒàŒ ¡ŒäÔ¾Ð©,ŒàŒ ¡ŒäÔ¾Ð©,3938,1313,785,46.5,44,38.5,105.12
,,,,,,,,,,
Perfect Universe - Play with Gravity,47,Will Sykes Games,Excalibur Games,30761,3389,785,4.25,43,60.82,949.19
,,,,,,,,,,
Son of a Witch,82,Bigosaur,Bigosaur,2085,1825,0,12.25,25,47.78,2.54
,,,,,,,,,,
Minit,,"JW, Kitty, Jukio, and Dom",Devolver Digital,1589,0,0,0,-1,0,-1
,,,,,,,,,,
The Sims 3,56,The Sims Studio,Electronic Arts,1725587,1500830,103976,5.32,43,73.27,3.2
,,,,,,,,,,
Pinball Evolution VR,89,Evolution Pinball VR,Evolution Pinball VR,1184,789,795,17,-1,0,-1
,,,,,,,,,,
Kalimba,89,Press Play,Microsoft Game Studios,16944,11731,782,18.4,42,115.25,321.95
,,,,,,,,,,
Bladestar,39,"Fair Weather Studios, LLC","Fair Weather Studios, LLC",6517,5735,784,3.25,101,50.15,52.62
,,,,,,,,,,
Knight Online,7,"Noah System, Mgame",NTTGame,2126526,1842167,19955,0.87,-1,0,-1
,,,,,,,,,,
Starwalker,,MP Game Studios,MP Game Studios,13916,11028,0,0.5,-1,0,-1
,,,,,,,,,,
I Am Overburdened,74,Magic Item Tech,Magic Item Tech,1050,795,0,9,12,44,60.5
,,,,,,,,,,
Legends of Iskaria: Days of Thieves,,Ludovic Lafferayrie,Ludovic Lafferayrie,1313,784,0,0,85,31.5,120.12
,,,,,,,,,,
SpeedRunners,86,DoubleDutch Games,tinyBuild,1601375,1377970,47705,14.96,43,51.3,1.5
,,,,,,,,,,
Planets Under Attack,27,Targem Games,Topware Interactive,359191,196925,19955,2.28,144,75.5,17.51
,,,,,,,,,,
Galactic Civilizations I: Ultimate Edition,10,Stardock Entertainment,Stardock Entertainment,427458,53564,784,1.09,144,60.69,114.76
,,,,,,,,,,
Survivor of Eschewal,,Luke Cripps,Fellowplayer,795,0,0,0,98,0,-1
,,,,,,,,,,
Dark Parables: The Exiled Prince Collector's Edition,39,Blue Tea Games,Big Fish Games,1578,0,0,3.25,51,120.33,1186.7
,,,,,,,,,,
Freight Tycoon Inc.,17,Nikita,1C Company,35709,26782,1176,1.56,226,84.21,3.72
,,,,,,,,,,
Garshasp: Temple of the Dragon,2,Dead Mage,Digital Dragon,46923,8603,0,0.44,110,84.32,31.48
,,,,,,,,,,
LUMBERMANCER,78,Roger von Biersborn,Roger von Biersborn,1303,782,0,10.33,226,80,800.33
,,,,,,,,,,
Dyadic,47,Handsome Dragon Games,Handsome Dragon Games,1050,1184,785,4,108,87,41.29
,,,,,,,,,,
ZOMBIE CAR MASSACRE ,40,DRUNKEN APES,DRUNKEN APES,3910,784,0,3.4,12,46.33,0.04
,,,,,,,,,,
Freedom Force vs. the Third Reich,51,Irrational Games,2K Games,255215,48050,0,4.57,42,150.24,83.89
,,,,,,,,,,
The Count Lucanor,92,Baroque Decay,Baroque Decay,56189,22581,1184,22.04,44,50.46,18.57
,,,,,,,,,,
Titan Quest: Immortal Throne,78,Iron Lore Entertainment,THQ Nordic,1030480,565421,1043,11.24,-1,0,-1
,,,,,,,,,,
FINAL FANTASY XII THE ZODIAC AGE,56,Square Enix,Square Enix,27569,17067,17067,5.56,12,0,-1
,,,,,,,,,,
Tricolour Lovestory,74,HL-Galgame,SakuraGame,317968,229483,20480,9.68,43,30.67,6.26
,,,,,,,,,,
The Strike,40,Bass Pro Shops,Console Classics,2101,2101,0,3.5,283,159.67,12202.81
,,,,,,,,,,
Bonny's Adventure,,"Jonas De Carvalho Felinto, Marcelo Eduardo Cabral","Jonas De Carvalho Felinto, Marcelo Eduardo Cabral",35714,34932,27111,0,13,69,12.25
,,,,,,,,,,
8-Bit Armies: Arena (Free),23,Petroglyph,Petroglyph,55664,38072,1050,2.03,-1,0,-1
,,,,,,,,,,
Styx: Master of Shadows,51,Cyanide Studio,Focus Home Interactive,598528,409533,5214,4.81,43,39.8,21.17
,,,,,,,,,,
GEARCRACK Arena,,Walter Machado,Walter Machado,251559,127213,0,1.23,1032,35.33,14.27
,,,,,,,,,,
Obscure II (Obscure: The Aftermath),47,Hydravision Entertainment,Mighty Rocket Studio,40667,13816,784,4.02,165,170,276.57
,,,,,,,,,,
Mirror's Edge,67,DICE,Electronic Arts,2793478,1874832,17205,7.97,43,57.91,66.05
,,,,,,,,,,
Real Warfare 2: Northern Crusades,3,Unicorn Games Studio,"1C Company, 1C-SoftClub",44899,12078,0,0.57,231,97.76,153.42
,,,,,,,,,,
Are You Ready?,,Time Gap Studio,Time Gap,795,795,0,1,108,44.25,23.77
,,,,,,,,,,
Woof Blaster,62,Fabian Jarrett,Fabian Jarrett,62825,8603,778,6.46,-1,0,-1
,,,,,,,,,,
King of Booze: Drinking Game,67,Daygames,Daygames,7352,5514,0,8,227,246,0
,,,,,,,,,,
Whispered Legends: Tales of Middleport,,Gogii Games,MumboJumbo,1575,1579,0,0.4,969,52.14,265.9
,,,,,,,,,,
The Cat Machine,86,Cranktrain,Cranktrain,5776,4989,0,15,42,61.5,135.16
,,,,,,,,,,
Sky Break,25,Farsky Interactive,Farsky Interactive,19551,14859,0,2.14,95,82.67,23.9
,,,,,,,,,,
Super Ubie Island REMIX,47,Notion Games,Black Shell Media,19812,3123,0,4,226,87.83,700.56
,,,,,,,,,,
Caffeine,,Incandescent Imaging,Incandescent Imaging,12078,1176,0,0.32,564,74,625
,,,,,,,,,,
RUINER,74,Reikon Games,Devolver Digital,112354,95149,7038,9.81,43,23.5,1.12
,,,,,,,,,,
Atonement 2: Ruptured by Despair,25,Astronomic Games,New Reality Games,241299,195350,4989,2.19,15,57,12.5
,,,,,,,,,,
HELLION,24,Zero Gravity,Zero Gravity,44111,42273,3413,2.09,106,114,0
,,,,,,,,,,
Rail Adventures - VR Tech Demo,8,exosyphen studios,exosyphen studios,41188,15380,784,0.93,-1,0,-1
,,,,,,,,,,
Plenty: Skyhearth,56,Tiny Lions,Tiny Lions Inc.,30239,14077,0,5.6,-1,0,-1
,,,,,,,,,,
Cloud Knights,18,Astrosnout,Astrosnout,98538,15641,0,1.7,361,43.8,0.32
,,,,,,,,,,
Battles of Norghan,49,Mitorah Games,Mitorah Games,7614,1313,0,4.33,49,41.55,34.41
,,,,,,,,,,
Ruckus Ridge VR Party,27,Foreignvr,Foreignvr,4692,4171,0,2.29,125,135.5,4192.56
,,,,,,,,,,
The Great Escape,21,XiNFiNiTY Games,OtakuMaker SARL,43534,38060,1172,1.78,110,72.67,1.49
,,,,,,,,,,
Ubersoldier II,33,Burut CT,Strategy First,39624,12773,1176,2.8,84,44.53,0.67
,,,,,,,,,,
Magic Siege - Defender,,Oriplay,"Cristian Manolachi, Atomic Fabrik",1578,789,795,0,70,0,-1
,,,,,,,,,,
Temple of the Apsara,51,Attraction Studios,Attraction Studios,2101,1575,0,4.75,226,0,-1
,,,,,,,,,,
Eliosi's Hunt,71,TDZ Games,TDZ Games,785,0,0,8.25,44,46.33,219.59
,,,,,,,,,,
Colosse,51,Colosse Team,Fire Panda Ltd.,59340,22318,0,4.59,-1,0,-1
,,,,,,,,,,
Blake Stone: Planet Strike,23,JAM Productions,Apogee Software,66996,3128,0,2,-1,0,-1
,,,,,,,,,,
LOGistICAL: USA - Florida,,Sacada,Sacada,1589,0,0,0,108,59,0
,,,,,,,,,,
Bannerman,42,Armitage Games,Armitage Games,1176,1176,0,3.73,79,84,0
,,,,,,,,,,
World Basketball Manager 2010,2,Icehole Games,Strategy First,26257,9715,0,0.49,108,69.28,391.53
,,,,,,,,,,
The Base,,GMGame,GMGame,1579,0,0,0,45,39,0
,,,,,,,,,,
Batla,14,[geim].pro,Abyss Lights Studio LLP,796908,459063,5735,1.38,-1,0,-1
,,,,,,,,,,
Tom Clancy's Splinter Cell,62,Ubisoft,Ubisoft,284666,156149,1171,6.47,43,48.08,40.06
,,,,,,,,,,
Primitive Road,37,MoMo Games,MoMo Games,6039,0,0,3,375,0,-1
,,,,,,,,,,
Metris Soccer,2,Metris Code Inc.,Metris Code Inc.,1043,781,0,0.47,333,0,-1
,,,,,,,,,,
Kung Fu Strike - The Warrior's Rise,47,Qooc Software,Digital Tribe,170226,74816,1176,4.08,44,61.62,0.22
,,,,,,,,,,
Fish Tycoon,47,Last Day of Work,Last Day of Work,12078,8927,1184,4,1868,98,1260.25
,,,,,,,,,,
RUNNING WITH RIFLES,71,Osumia Games,Osumia Games,316208,294832,10949,8.17,43,50.77,40.29
,,,,,,,,,,
Take the Cake,,Ebenit,Ebenit,1172,781,781,0,-1,0,-1
,,,,,,,,,,
New York Mysteries: Secrets of the Mafia,67,FIVE-BN GAMES,FIVE-BN GAMES,14966,6302,0,7.62,12,97.56,9.91
,,,,,,,,,,
BloodGate,19,Outsmart,Outsmart,9906,6256,0,1.72,-1,0,-1
,,,,,,,,,,
Din's Curse,62,Soldak Entertainment,Soldak Entertainment,17205,15120,0,6.26,44,84.48,1.85
,,,,,,,,,,
Trimmer Tycoon,21,Improx Games,Improx Games,179070,153339,789,1.83,-1,0,-1
,,,,,,,,,,
My Summer Car,74,Amistech Games,Amistech Games,310616,303002,42273,9.45,227,241,0
,,,,,,,,,,
Bass Blocks,39,Paul Cooney,Paul Cooney,795,0,0,3.33,877,0,-1
,,,,,,,,,,
System Shock 2,89,"Irrational Games, Looking Glass Studios",Nightdive Studios,851651,483828,2607,16.01,43,46.72,6.48
,,,,,,,,,,
What The Box?,49,"Daniel Snd, Thiago Adamo",Bitten Toast Games Inc.,55004,50051,1561,4.35,43,51.56,3.43
,,,,,,,,,,
HIBIKAKEYIRONOKISEKI /  / ,86,ecoddr,"Pujia8 Studio, Gamera Game",34659,19692,4989,13.67,-1,0,-1
,,,,,,,,,,
Borderlands 2,95,"Gearbox Software, Aspyr (Mac & Linux)","2K Games, Aspyr (Mac & Linux)",8237321,7372374,302132,30.12,43,29.38,11.05
,,,,,,,,,,
Save Dash,,10ravens s.r.o.,10ravens s.r.o.,3389,785,0,0,118,0,-1
,,,,,,,,,,
Bombslinger,100,Mode4,Mode4,782,782,784,25,79,123,289
,,,,,,,,,,
Lord of the Seal,53,N-Soft,N-soft,1313,1176,784,5,80,74.5,1035.12
,,,,,,,,,,
Salt,59,Lavaboots Studios,Lavaboots Studios,89675,81594,3128,5.7,43,62.06,213.94
,,,,,,,,,,
2-in-1 Fluid Intelligence,,ALEKSANDER CHEPAIKIN,ALEKSANDER CHEPAIKIN,1050,0,0,0,-1,0,-1
,,,,,,,,,,
Krosmaster Arena,19,Ankama Studio,Ankama Games,176182,104501,785,1.73,-1,0,-1
,,,,,,,,,,
Cyborg Invasion Shooter,59,"Tero Lunkka, Valkeala Software, BlackThug",Tero Lunkka,1825,0,0,5.75,24,21,27
,,,,,,,,,,
Cognizant Protocol,,Nilem Studio,Nilem Studio,795,0,0,0,-1,0,-1
,,,,,,,,,,
Gravity Ghost,97,Ivy Games,Ivy Games,24419,11815,0,35.14,42,92.2,228.48
,,,,,,,,,,
Valcarta: Rise of the Demon,67,Blacksword Games,Blacksword Games,4726,2626,0,7.5,18,56.2,9.6
,,,,,,,,,,
The Village,,Prootgames,Prootgames,6827,785,785,0,-1,0,-1
,,,,,,,,,,
DAMAGE CONTROL,,Ross Edgar,Ross Edgar,12773,9124,0,1.11,231,449,0
,,,,,,,,,,
Hotline Miami 2: Wrong Number,78,Dennaton Games,Devolver Digital,1242154,828972,48487,10.72,31,60.12,118.5
,,,,,,,,,,
Luminosity,86,Windmill Games,Windmill Games,43061,37810,3676,14,231,115.71,306.05
,,,,,,,,,,
Gardenarium,28,"Paloma Dawkins, Kyler Kelly, Catherine Debard",KO_OP mode,5776,789,0,2.33,714,0,-1
,,,,,,,,,,
NBA 2K15,33,Visual Concepts,2K,264667,252852,5776,2.75,969,20.6,13.46
,,,,,,,,,,
ChromaGun,89,Pixel Maniacs,Pixel Maniacs,13295,9906,784,17.11,43,56,12
,,,,,,,,,,
The Wizard's Lair,,Magicbane,Magicbane,30983,30458,1570,1,108,225.5,5460.12
,,,,,,,,,,
Immersion,0,Machine1357,Machine1357,7038,4692,0,0.12,437,0,-1
,,,,,,,,,,
NOBUNAGA'S AMBITION: Sphere of Influence - Ascension /  ,11,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",72993,72731,9978,1.16,232,122,112.5
,,,,,,,,,,
Grand Academy for Future Villains,,Choice of Games,Choice of Games,2369,1579,795,0,108,46,0
,,,,,,,,,,
Inklings,59,Applepine Games,Applepine Games,788,795,0,6,227,52.8,1.57
,,,,,,,,,,
No Clue VR,,Elknight,Elknight,795,0,0,0,43,43.8,2.89
,,,,,,,,,,
A Day in the Woods,100,RetroEpic Software,RetroEpic Software,1184,789,0,9,226,81.33,746.81
,,,,,,,,,,
Planescape: Torment: Enhanced Edition,95,Beamdog,Beamdog,97412,57765,4726,24.12,40,60.67,1422.81
,,,,,,,,,,
QUAKE Mission Pack 1: Scourge of Armagon,89,Ritual Entertainment,id Software,332371,28936,785,18.11,42,72.89,378.61
,,,,,,,,,,
Dragon Nest,42,Eyedentity Games Inc.,Eyedentity Games Inc.,742538,312979,2363,3.55,-1,0,-1
,,,,,,,,,,
The Empty Inn,2,Candlelight Studios,Candlelight Studios,795,0,0,0.5,471,152.67,334.26
,,,,,,,,,,
A Mortician's Tale,16,Laundry Bear Games,Laundry Bear Games,3151,2363,0,1.53,113,0,-1
,,,,,,,,,,
Tachyon: The Fringe,78,NovaLogic,"NovaLogic, THQ Nordic",31771,13128,0,10.22,42,127.6,182.41
,,,,,,,,,,
Bygone Worlds: Jerusalem,,Lithodomos VR,Lithodomos VR,795,0,0,0,-1,0,-1
,,,,,,,,,,
CTU: Counter Terrorism Unit,3,Odin Game Studio,Excalibur Games,6302,1313,0,0.53,108,69.12,188.91
,,,,,,,,,,
EVE: Valkyrie  Warzone,19,CCP,CCP,19551,10167,1569,1.72,-1,0,-1
,,,,,,,,,,
Dabda,28,,,6827,1176,0,2.33,-1,0,-1
,,,,,,,,,,
Skilltree Saga,2,Silent Dreams,Headup Games,35714,7038,0,0.46,108,75.43,260.83
,,,,,,,,,,
eXceed 3rd - Jade Penetrate Black Package,82,Tennen-sozai,Nyu Media,69602,45880,785,12.86,44,63.86,41.91
,,,,,,,,,,
Assassin's Creed Freedom Cry,37,Ubisoft Montreal,Ubisoft,147025,87329,1570,3.04,51,49.31,89.76
,,,,,,,,,,
Chicken Labyrinth Puzzles,28,ZemunBRE,ZemunBRE,126032,112904,1589,2.34,25,69,1.33
,,,,,,,,,,
Don Bradman Cricket 17,13,Big Ant Studios,Big Ant Studios,4726,4726,784,1.38,-1,0,-1
,,,,,,,,,,
Falcon Gold,,Spectrum Holobyte,Retroism,12078,5514,0,4,79,62.09,71.74
,,,,,,,,,,
Age of Mythology: Extended Edition,56,"SkyBox Labs, Ensemble Studios",Microsoft Studios,1234850,1067070,62228,5.61,43,52.15,25.69
